date,stix,malpedia,secnews,cve
2016-01-08,882,0,8,37
2016-01-09,930,1,1,16
2016-01-10,1009,1,0,5
2016-01-11,758,0,8,10
2016-01-12,895,2,14,23
2016-01-13,1267,1,9,28
2016-01-14,920,2,4,20
2016-01-15,842,0,3,38
2016-01-16,686,0,1,7
2016-01-17,627,0,0,7
2016-01-18,615,1,2,8
2016-01-19,697,0,3,11
2016-01-20,978,0,8,13
2016-01-21,916,1,15,216
2016-01-22,739,4,4,15
2016-01-23,1205,1,0,2
2016-01-24,644,1,0,0
2016-01-25,779,0,12,11
2016-01-26,864,1,5,12
2016-01-27,1105,1,11,15
2016-01-28,870,4,8,1
2016-01-29,611,2,3,17
2016-01-30,564,0,0,15
2016-01-31,787,0,0,16
2016-02-01,503,1,2,20
2016-02-02,1178,2,5,0
2016-02-03,1049,2,2,12
2016-02-04,722,0,4,2
2016-02-05,744,1,3,5
2016-02-06,919,0,0,6
2016-02-07,707,0,0,20
2016-02-08,541,1,3,27
2016-02-09,1201,3,3,4
2016-02-10,898,0,3,72
2016-02-11,858,0,0,1
2016-02-12,828,3,2,14
2016-02-13,727,0,0,14
2016-02-14,526,1,0,6
2016-02-15,647,0,2,30
2016-02-16,449,2,4,13
2016-02-17,801,2,7,26
2016-02-18,890,1,7,18
2016-02-19,948,1,8,6
2016-02-20,1678,0,0,9
2016-02-21,600,2,1,4
2016-02-22,738,2,5,27
2016-02-23,988,1,12,8
2016-02-24,3673,2,10,3
2016-02-25,971,1,12,8
2016-02-26,884,1,12,2
2016-02-27,1019,0,0,9
2016-02-28,872,0,0,12
2016-02-29,1297,2,4,12
2016-03-01,1301,4,11,6
2016-03-02,837,1,2,4
2016-03-03,974,1,6,19
2016-03-04,719,1,2,14
2016-03-05,652,0,0,0
2016-03-06,643,3,0,16
2016-03-07,573,1,6,0
2016-03-08,636,1,0,0
2016-03-09,644,1,8,53
2016-03-10,620,1,12,1
2016-03-11,842,3,8,0
2016-03-12,617,0,0,49
2016-03-13,535,0,0,47
2016-03-14,538,1,17,5
2016-03-15,869,2,14,2
2016-03-16,833,0,6,5
2016-03-17,801,0,12,4
2016-03-18,631,2,0,11
2016-03-19,415,0,0,4
2016-03-20,665,1,0,0
2016-03-21,732,1,14,1
2016-03-22,877,0,2,4
2016-03-23,573,3,7,1
2016-03-24,612,1,4,62
2016-03-25,643,1,8,1
2016-03-26,819,0,2,7
2016-03-27,403,0,0,0
2016-03-28,930,1,13,4
2016-03-29,1326,3,4,8
2016-03-30,1107,1,6,2
2016-03-31,810,1,7,3
2016-04-01,1250,1,18,7
